core to core latency(ns), 0, 1, 2, 3, 4, 5, 6, 7
6, 38.179703, 39.674305, 40.121674, 40.404961, 40.293903, 40.436695, 46.619389, 44.044621
5, 38.422573, 38.489441, 39.863014, 40.063766, 46.640472, 43.687229, 38.826977, 40.047771
4, 39.067631, 39.857334, 39.847996, 40.346657, 47.893162, 47.953606, 39.665066, 40.166142
3, 38.398449, 39.880074, 47.771591, 47.137024, 39.948860, 40.171505, 39.625710, 39.465885
2, 38.250229, 35.789379, 47.637280, 47.550468, 40.094120, 39.852470, 39.620502, 39.571625
1, 44.679619, 46.623802, 39.716171, 39.895924, 39.593647, 39.782772, 37.890678, 39.178699
0, 45.193977, 46.462757, 39.757328, 39.266754, 39.287624, 36.815083, 39.106277, 39.299053
Testing cache size 16384KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 28.743996, 29.794920, 30.170189, 29.986437, 30.134884, 30.115866, 31.058372, 31.036943
6, 28.637993, 29.850365, 29.457886, 29.837166, 28.864170, 30.043745, 28.688782, 31.081062
5, 28.550673, 29.746006, 30.088089, 30.107527, 31.345404, 31.482557, 29.843306, 29.733130
4, 28.940577, 29.310524, 30.102200, 30.050203, 31.326839, 31.305288, 28.700150, 29.083590
3, 28.787117, 29.801949, 31.409298, 31.368015, 29.952017, 30.011728, 29.592180, 29.944910
2, 28.988379, 29.449244, 31.438305, 31.246309, 29.975872, 30.008047, 29.745100, 27.634512
1, 29.949493, 30.858322, 29.747816, 29.719137, 29.751657, 29.927053, 29.566925, 29.833527
0, 29.527666, 30.863192, 29.836250, 29.992634, 29.819208, 29.883175, 29.747368, 29.777010
Testing cache size 32768KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 26.024736, 27.818344, 28.215609, 28.174782, 28.252266, 28.110235, 28.473824, 28.424198
6, 27.358673, 27.877188, 28.221304, 28.233114, 28.034731, 28.197315, 28.549421, 28.340023
5, 25.573961, 27.841496, 28.292707, 28.232500, 28.730278, 28.755604, 28.039148, 28.071323
4, 26.672951, 27.942068, 27.734182, 28.281460, 28.699100, 28.686903, 27.748926, 28.128008
3, 25.604244, 27.899044, 28.629612, 28.745256, 28.074345, 28.307440, 28.016268, 28.112452
2, 27.421352, 27.617348, 28.634432, 28.775053, 27.917952, 28.230463, 28.002840, 27.992226
1, 26.901190, 27.258842, 27.921738, 28.133268, 28.122961, 28.063881, 27.744791, 27.975819
0, 27.252762, 28.435350, 28.171946, 28.105793, 28.082205, 28.279413, 27.895473, 27.900639
Testing cache size 65536KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 25.957256, 27.042812, 27.748335, 27.791286, 27.669283, 27.651300, 27.601965, 27.696695
6, 26.969770, 27.451742, 27.650324, 27.570469, 27.525101, 27.401005, 27.645437, 27.737520
5, 26.627951, 26.267859, 27.630999, 27.618130, 27.878780, 27.876595, 27.496866, 26.910990
4, 26.900448, 27.093168, 27.647591, 26.960855, 27.928108, 27.975222, 27.502083, 27.471394
3, 26.608940, 26.175987, 27.744204, 27.727695, 27.637436, 27.671827, 27.444613, 27.520065
2, 26.962158, 27.131107, 27.994629, 27.888712, 27.723965, 27.815186, 27.532070, 27.463297
1, 26.825594, 26.291681, 27.684544, 27.709827, 27.622614, 27.689251, 27.409256, 27.034224
0, 26.999352, 27.761124, 27.561344, 27.627483, 27.653643, 27.645830, 27.486443, 27.354662
Testing cache size 131072KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 26.931545, 26.062695, 27.117947, 27.457323, 27.386049, 27.543497, 27.458094, 27.105364
6, 26.533003, 27.124336, 27.307333, 27.380686, 27.413286, 27.568722, 27.425386, 27.249537
5, 26.573895, 26.014711, 27.408871, 27.600407, 27.568525, 27.549894, 26.568481, 27.120766
4, 26.718109, 27.062449, 27.341286, 27.339756, 27.515617, 27.438652, 27.175940, 27.179903
3, 26.812548, 25.931637, 27.494551, 27.489141, 27.391035, 27.418854, 27.092607, 27.187643
2, 26.605867, 27.278214, 27.661852, 27.656181, 27.485474, 27.566776, 27.071995, 27.295525
1, 26.537321, 26.256584, 27.362310, 27.612675, 27.645245, 27.486826, 26.699335, 27.164999
0, 26.379393, 27.257126, 27.324295, 27.511946, 27.517166, 27.550480, 27.220732, 27.168772
Testing cache size 262144KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 26.914137, 26.403774, 27.496866, 27.441347, 27.393526, 27.325251, 27.077801, 27.216377
6, 26.526171, 26.976274, 27.408873, 27.398893, 27.382792, 27.208055, 27.005869, 26.941553
5, 26.512516, 26.062170, 27.366327, 27.452509, 26.957327, 27.355425, 27.177261, 27.217705
4, 26.535162, 27.207296, 27.439613, 27.496483, 27.448660, 27.284868, 27.169338, 27.196901
3, 26.328466, 26.183340, 27.438271, 27.476213, 27.399086, 27.239676, 27.132421, 27.203325
2, 26.200867, 27.074429, 27.490494, 27.540979, 27.493391, 27.188587, 27.032543, 27.177637
1, 26.519878, 26.105801, 27.314764, 27.456169, 27.224518, 27.242142, 27.090733, 27.035904
0, 26.597010, 27.231337, 27.396593, 27.415781, 27.216568, 27.387774, 27.145596, 27.124336
