core to core latency(ns), 0, 1, 2, 3, 4, 5, 6, 7
2, 29.062805, 29.390026, 103.126785, 100.028954, 29.333473, 29.534918, 29.403271, 29.507954
1, 96.732948, 104.056267, 29.244116, 29.259928, 29.612188, 29.424246, 29.393206, 29.323444
0, 99.624062, 99.530243, 29.347654, 29.176235, 29.184271, 29.227514, 29.095083, 29.406038
Testing cache size 128KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 37.164700, 37.761066, 38.037201, 38.358341, 37.992203, 38.001720, 99.501060, 116.534378
6, 37.513847, 37.860729, 38.373299, 38.345894, 38.223892, 38.199223, 118.183418, 99.823540
5, 37.569027, 38.011700, 38.328281, 38.536404, 100.212357, 117.718750, 38.074898, 37.892178
4, 37.779358, 37.581326, 38.124226, 38.915653, 116.965836, 100.368835, 37.646019, 37.582813
3, 36.962894, 37.594357, 99.193504, 115.339348, 37.920849, 37.900681, 37.600140, 37.606304
2, 37.242451, 37.395863, 112.956764, 98.824944, 37.834419, 37.983723, 37.599033, 37.670307
1, 97.371727, 114.019638, 37.179028, 37.465950, 37.365959, 37.366722, 37.315407, 37.119469
0, 112.781479, 98.133789, 37.070999, 37.252945, 37.872658, 37.311462, 37.262871, 37.157524
Testing cache size 256KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 42.870506, 43.792175, 44.290760, 44.559643, 44.354897, 43.582825, 74.178673, 106.451492
6, 43.371700, 44.060612, 44.672779, 44.660984, 44.625828, 44.457241, 104.076935, 74.254662
5, 43.717525, 44.082077, 45.057358, 44.903099, 75.783730, 106.182907, 44.514648, 44.106163
4, 43.109612, 43.905216, 44.536335, 44.581627, 105.761284, 76.118172, 43.894745, 43.243599
3, 42.609768, 43.586040, 77.250389, 105.249336, 44.202427, 43.946487, 43.595127, 43.533504
2, 43.084034, 43.534046, 105.564545, 77.404655, 44.570786, 44.117088, 43.586884, 43.261055
1, 74.683563, 104.608070, 43.195835, 43.252270, 43.367363, 43.269501, 43.018311, 42.953979
0, 104.879951, 75.839455, 43.037182, 43.212624, 43.294392, 43.313580, 42.961987, 42.891811
Testing cache size 512KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 47.016071, 47.861313, 48.652973, 48.590271, 48.579979, 48.650063, 66.296509, 62.128517
6, 47.275799, 47.704521, 48.773788, 48.722160, 48.757996, 48.720280, 62.226292, 66.274063
5, 47.395973, 48.157127, 48.986343, 49.041004, 69.300163, 64.541672, 48.345230, 48.115063
4, 47.723633, 48.013428, 48.870075, 48.861526, 64.399399, 69.396019, 48.148106, 48.133934
3, 46.888081, 47.597416, 69.379936, 64.554466, 48.281845, 48.260426, 47.561615, 46.670204
2, 46.387390, 47.518272, 64.383469, 69.325890, 48.246731, 48.129280, 47.578964, 47.557522
1, 65.224754, 61.989799, 47.171425, 47.154404, 47.291634, 47.215736, 46.873886, 46.837452
0, 62.488300, 67.303238, 46.966827, 45.729908, 47.947479, 47.317337, 46.722263, 46.775318
Testing cache size 1024KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 49.107281, 50.329082, 51.089706, 51.097710, 51.185947, 51.147850, 69.691284, 66.965469
6, 49.771667, 49.729965, 51.154495, 50.891056, 51.193302, 51.206059, 66.980347, 69.739716
5, 50.166473, 50.475662, 51.414631, 51.472805, 73.857254, 70.991493, 50.705177, 50.660530
4, 49.707802, 50.472450, 51.310844, 51.368759, 70.932289, 73.610031, 50.606205, 50.587246
3, 48.950047, 49.895985, 73.775131, 71.076637, 50.707767, 50.724190, 49.839371, 49.839371
2, 48.881500, 49.781750, 70.988960, 73.733475, 50.694675, 50.682854, 49.861530, 49.859673
1, 68.339485, 66.717834, 49.446747, 49.028038, 49.635609, 49.481812, 49.104160, 49.029724
0, 67.107254, 70.017479, 49.414902, 49.395565, 49.497440, 49.501896, 48.924908, 49.032139
Testing cache size 2048KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 50.851341, 51.566151, 52.355095, 51.702236, 52.370434, 52.486275, 71.187019, 70.136772
6, 51.304565, 50.982487, 52.426563, 52.427971, 52.517269, 52.505302, 70.020096, 71.420807
5, 51.106991, 51.805740, 52.762939, 52.792145, 76.243881, 75.033791, 51.925339, 51.981182
4, 50.521210, 50.735310, 52.672787, 52.728798, 75.006416, 76.248352, 51.906063, 51.902622
3, 49.707031, 51.213284, 76.255798, 74.948990, 51.846889, 52.038502, 51.100975, 51.072308
2, 50.068855, 51.138351, 74.957573, 76.181549, 52.000523, 51.965977, 51.094963, 50.188881
1, 70.181175, 69.977554, 50.620907, 50.465565, 50.857124, 50.789169, 50.246029, 50.247314
0, 69.319458, 71.594421, 50.695644, 50.634663, 50.786514, 50.679970, 50.246696, 50.257660
Testing cache size 4096KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 51.065483, 52.126396, 52.965878, 52.535728, 52.341862, 52.984516, 72.025299, 71.500313
6, 51.158909, 52.110409, 52.981651, 52.973778, 53.049881, 52.672199, 71.566994, 71.976303
5, 50.922630, 52.285820, 53.271477, 53.254818, 77.208122, 77.078896, 52.498333, 52.484257
4, 50.990971, 52.242584, 52.753109, 53.213577, 77.086502, 77.221878, 52.259338, 52.417496
3, 50.585785, 51.551163, 77.229454, 77.057632, 52.491997, 52.507504, 51.586449, 51.587849
2, 50.396217, 51.651833, 76.922897, 77.179237, 52.599224, 52.602753, 51.562004, 51.647739
1, 69.864212, 70.805740, 50.582394, 51.219181, 51.258072, 50.722675, 50.675449, 50.764179
0, 69.796890, 71.842896, 50.992939, 51.093464, 51.379852, 51.334064, 50.795822, 50.643993
Testing cache size 8192KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 38.490204, 39.576828, 40.181389, 40.006836, 40.055164, 40.183861, 41.800449, 46.466618
6, 38.484909, 39.641766, 40.050236, 40.059662, 40.143883, 40.034653, 46.344482, 46.114609
5, 38.663197, 39.841919, 40.116325, 40.328358, 47.608292, 47.044094, 39.715771, 39.810295
4, 38.647926, 38.830807, 36.949238, 40.061710, 47.307358, 47.504879, 39.893475, 39.636543
3, 37.943951, 39.240376, 47.360016, 47.701141, 39.866253, 39.737549, 39.483013, 39.607670
2, 38.257706, 39.560829, 47.416821, 47.282219, 39.937038, 39.966385, 37.010376, 39.359131
1, 45.192928, 46.490910, 39.561630, 39.476231, 39.569614, 39.350830, 39.077774, 39.045803
0, 45.325356, 46.126015, 39.532856, 39.509315, 39.541649, 39.592838, 39.039177, 39.137554
Testing cache size 16384KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 28.249208, 27.751678, 29.605835, 29.951780, 29.926819, 30.013113, 30.879017, 30.966221
6, 28.934166, 29.939182, 30.053661, 30.050203, 30.013567, 30.089245, 30.828184, 31.094889
5, 29.011158, 29.641260, 28.448782, 29.643053, 31.415600, 31.336365, 29.835115, 29.661926
4, 28.622076, 29.736061, 29.966003, 30.067972, 31.261532, 31.265030, 29.853783, 29.856283
3, 28.641762, 28.992887, 29.547951, 31.220388, 30.079762, 29.932539, 29.821245, 29.709877
2, 28.895723, 29.707851, 31.199240, 31.376810, 29.986433, 29.905775, 29.690269, 29.616137
1, 30.269348, 31.095379, 29.945595, 28.267570, 29.719578, 29.739004, 29.738098, 29.345470
0, 30.412109, 31.114664, 29.925447, 29.849447, 29.833979, 29.944447, 29.750078, 29.718004
Testing cache size 32768KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 27.293814, 27.615013, 28.255941, 26.717192, 28.170527, 28.270634, 28.567760, 28.399038
6, 27.428080, 28.040558, 28.102570, 28.331825, 28.318495, 28.259205, 28.483355, 28.464302
5, 27.623199, 27.993830, 28.255127, 27.314381, 28.367958, 28.715734, 28.021084, 27.964022
4, 27.343767, 28.031115, 28.201584, 28.311735, 28.812546, 28.758348, 27.992628, 28.064283
3, 27.283728, 27.365942, 28.501196, 28.185944, 26.996929, 28.271042, 28.020885, 27.908396
2, 27.288294, 27.945459, 28.527988, 28.822947, 28.322388, 28.375154, 28.003439, 28.017672
1, 27.681417, 28.439068, 28.075352, 28.378450, 26.822653, 28.324026, 27.815975, 27.751879
0, 27.736141, 28.482117, 28.127602, 28.342484, 28.255735, 28.106806, 28.036943, 27.947655
Testing cache size 65536KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 26.538759, 27.461180, 27.513296, 27.657551, 26.439268, 27.745777, 27.685331, 27.659504
6, 27.021162, 27.551062, 27.648563, 27.770775, 27.751680, 27.696106, 27.563866, 27.693949
5, 27.034595, 27.438652, 27.591454, 27.067690, 26.752071, 27.775112, 27.097858, 27.452892
4, 26.909878, 27.484123, 27.710417, 27.646610, 27.892286, 27.896463, 27.441154, 27.490685
3, 26.417498, 27.522966, 27.948454, 27.864292, 26.607674, 27.748924, 27.408484, 27.577074
2, 26.793825, 27.464642, 27.868259, 27.882750, 27.622221, 27.689638, 27.462715, 27.434229
1, 26.716280, 27.529165, 27.364222, 27.779055, 26.504616, 27.779446, 27.367666, 27.377048
0, 27.259783, 27.519293, 27.746956, 27.849621, 27.670065, 27.738108, 27.577070, 27.444809
Testing cache size 131072KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 27.022839, 27.339947, 27.469461, 27.517746, 26.454277, 27.370155, 27.419050, 27.517939
6, 27.129227, 27.337467, 27.497446, 27.440578, 27.111748, 24.861334, 22.125761, 23.549646
5, 25.091150, 25.285337, 25.520601, 25.038502, 25.706991, 24.255697, 23.737455, 26.189297
4, 26.511976, 27.338039, 27.653839, 27.184811, 27.514456, 27.268711, 26.458925, 27.098234
3, 26.371574, 27.319340, 27.711596, 26.682041, 27.407146, 27.359823, 27.213732, 27.141832
2, 26.629036, 27.369770, 27.640951, 27.527229, 27.563286, 27.554358, 27.390650, 27.297049
1, 26.633024, 27.337273, 27.460600, 26.467333, 27.505369, 27.609167, 27.348927, 27.167826
0, 26.615818, 27.396019, 27.579210, 27.552225, 27.401579, 27.086233, 27.217133, 26.761217
Testing cache size 262144KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 26.968843, 27.186321, 27.201435, 26.595381, 27.360016, 27.431732, 27.052349, 27.208811
6, 26.713730, 27.269470, 27.397741, 27.454050, 27.450197, 27.453279, 27.046181, 27.246881
5, 26.758841, 27.224520, 27.303331, 26.748783, 27.405033, 27.475828, 27.147291, 27.176317
4, 26.575338, 26.936731, 27.396210, 27.403307, 27.219028, 27.367285, 27.092983, 27.005129
3, 26.606590, 27.247452, 27.472164, 26.484348, 27.452702, 27.384325, 27.080238, 27.150301
2, 26.669317, 27.216564, 27.431154, 27.446928, 27.352560, 27.486826, 27.141642, 27.222244
1, 26.594479, 27.188778, 27.298761, 26.750427, 27.396593, 27.316097, 27.183867, 27.242142
0, 26.718472, 27.276121, 27.463875, 27.415588, 27.443462, 27.439039, 27.206732, 27.217892
